127.0.0.1, 2018-05-09 14:54:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.299246
127.0.0.1, 2018-05-09 14:54:24, GET, /admin/default/index, HTTP/1.1, 303, 0.153650
127.0.0.1, 2018-05-09 14:54:24, GET, /admin/default/site, HTTP/1.1, 200, 0.057362
127.0.0.1, 2018-05-09 14:54:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000343
127.0.0.1, 2018-05-09 15:41:31, GET, /, HTTP/1.1, 303, 0.007220
127.0.0.1, 2018-05-09 15:41:32, GET, /welcome/default/index, HTTP/1.1, 200, 0.263217
127.0.0.1, 2018-05-09 15:41:34, GET, /admin/default/index, HTTP/1.1, 303, 0.165587
127.0.0.1, 2018-05-09 15:41:34, GET, /admin/default/site, HTTP/1.1, 200, 0.061273
127.0.0.1, 2018-05-09 15:41:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/default/index, HTTP/1.1, 200, 0.122249
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/css/stupid.css, HTTP/1.1, 200, 0.000657
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/css/custom.css, HTTP/1.1, 200, 0.001117
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/css/calendar.css, HTTP/1.1, 200, 0.000557
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/css/web2py.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/css/myapp.css, HTTP/1.1, 200, 0.000663
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.000821
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/js/jquery.js, HTTP/1.1, 200, 0.000830
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/js/calendar.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/js/vue.min.js, HTTP/1.1, 200, 0.000993
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/js/web2py.js, HTTP/1.1, 200, 0.000931
127.0.0.1, 2018-05-09 15:41:37, GET, /FitViz/static/js/marked.min.js, HTTP/1.1, 200, 0.001061
127.0.0.1, 2018-05-09 15:41:38, GET, /FitViz/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000531
127.0.0.1, 2018-05-09 15:41:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000352
127.0.0.1, 2018-05-09 15:41:39, GET, /admin/default/site, HTTP/1.1, 200, 0.034749
127.0.0.1, 2018-05-09 15:41:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000414
127.0.0.1, 2018-05-09 15:41:40, GET, /git/default/index, HTTP/1.1, 404, 0.000437
127.0.0.1, 2018-05-09 15:41:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001345
127.0.0.1, 2018-05-23 17:06:09, GET, /, HTTP/1.1, 303, 0.015533
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.640118
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.035595
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.029132
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.042161
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.037267
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.050820
127.0.0.1, 2018-05-23 17:06:10, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.022039
